global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.65,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.7,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.8,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.85,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.9,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,0.95,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
5,1.0,0.0,0.9969924812030075,0.0,0.49849624060150377,0.0,-0.004744614656741018,0,4,1326,10
10,0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.65,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.7,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.8,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.85,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.9,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,0.95,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
10,1.0,0.0,0.9969924812030075,0.0,0.49849624060150377,0.0,-0.004744614656741018,0,4,1326,10
15,0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.65,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.7,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.8,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.85,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.9,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,0.95,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
15,1.0,0.1,0.9977443609022556,0.25,0.5488721804511278,0.14285714285714288,0.15419997634408306,1,3,1327,9
20,0.1,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.15,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.2,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.25,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.3,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.35,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.4,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.45,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.5,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.55,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.6,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.65,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.7,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.75,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.8,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.85,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.9,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,0.95,0.0,1.0,0.0,0.5,0.0,0.0,0,0,1330,10
20,1.0,0.0,0.9962406015037594,0.0,0.4981203007518797,0.0,-0.005306626834567588,0,5,1325,10
