global_round,entropy_ratio,recall,specificity,precision,average_accuracy,f1_score,mcc,TP,FP,TN,FN
5,0.1,0.7,0.9932330827067669,0.4375,0.8466165413533835,0.5384615384615384,0.5492892715676744,7,9,1321,3
5,0.15,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
5,0.2,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
5,0.25,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
5,0.3,0.7,0.9932330827067669,0.4375,0.8466165413533835,0.5384615384615384,0.5492892715676744,7,9,1321,3
5,0.35,0.8,0.9932330827067669,0.47058823529411764,0.8966165413533835,0.5925925925925927,0.6099893553052531,8,9,1321,2
5,0.4,0.8,0.9932330827067669,0.47058823529411764,0.8966165413533835,0.5925925925925927,0.6099893553052531,8,9,1321,2
5,0.45,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
5,0.5,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
5,0.55,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
5,0.6,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
5,0.65,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
5,0.7,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
5,0.75,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
5,0.8,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
5,0.85,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
5,0.9,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
5,0.95,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
5,1.0,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
10,0.1,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
10,0.15,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
10,0.2,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
10,0.25,0.8,0.9947368421052631,0.5333333333333333,0.8973684210526316,0.64,0.6501231009141814,8,7,1323,2
10,0.3,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
10,0.35,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
10,0.4,0.8,0.9917293233082707,0.42105263157894735,0.8958646616541354,0.5517241379310345,0.5763341333685109,8,11,1319,2
10,0.45,0.8,0.9909774436090225,0.4,0.8954887218045113,0.5333333333333333,0.561420098296698,8,12,1318,2
10,0.5,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
10,0.55,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
10,0.6,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
10,0.65,0.9,0.9917293233082707,0.45,0.9458646616541353,0.6,0.6329317838211824,9,11,1319,1
10,0.7,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
10,0.75,0.9,0.9917293233082707,0.45,0.9458646616541353,0.6,0.6329317838211824,9,11,1319,1
10,0.8,0.9,0.9902255639097745,0.4090909090909091,0.9451127819548872,0.5625000000000001,0.6029160377207533,9,13,1317,1
10,0.85,0.9,0.9902255639097745,0.4090909090909091,0.9451127819548872,0.5625000000000001,0.6029160377207533,9,13,1317,1
10,0.9,0.9,0.9902255639097745,0.4090909090909091,0.9451127819548872,0.5625000000000001,0.6029160377207533,9,13,1317,1
10,0.95,0.9,0.9902255639097745,0.4090909090909091,0.9451127819548872,0.5625000000000001,0.6029160377207533,9,13,1317,1
10,1.0,0.9,0.9902255639097745,0.4090909090909091,0.9451127819548872,0.5625000000000001,0.6029160377207533,9,13,1317,1
15,0.1,0.8,0.9954887218045113,0.5714285714285714,0.8977443609022557,0.6666666666666666,0.6733239574890438,8,6,1324,2
15,0.15,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
15,0.2,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
15,0.25,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
15,0.3,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
15,0.35,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
15,0.4,0.9,0.9917293233082707,0.45,0.9458646616541353,0.6,0.6329317838211824,9,11,1319,1
15,0.45,0.9,0.9917293233082707,0.45,0.9458646616541353,0.6,0.6329317838211824,9,11,1319,1
15,0.5,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
15,0.55,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
15,0.6,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
15,0.65,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
15,0.7,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
15,0.75,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
15,0.8,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
15,0.85,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
15,0.9,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
15,0.95,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
15,1.0,0.9,0.9924812030075187,0.47368421052631576,0.9462406015037594,0.6206896551724138,0.6496757989633641,9,10,1320,1
20,0.1,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
20,0.15,0.7,0.9924812030075187,0.4117647058823529,0.8462406015037593,0.5185185185185185,0.5325120343470504,7,10,1320,3
20,0.2,0.7,0.9932330827067669,0.4375,0.8466165413533835,0.5384615384615384,0.5492892715676744,7,9,1321,3
20,0.25,0.7,0.9924812030075187,0.4117647058823529,0.8462406015037593,0.5185185185185185,0.5325120343470504,7,10,1320,3
20,0.3,0.8,0.9917293233082707,0.42105263157894735,0.8958646616541354,0.5517241379310345,0.5763341333685109,8,11,1319,2
20,0.35,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
20,0.4,0.8,0.9924812030075187,0.4444444444444444,0.8962406015037594,0.5714285714285714,0.59246515124694,8,10,1320,2
20,0.45,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.5,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.55,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.6,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.65,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.7,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.75,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.8,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.85,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.9,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,0.95,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
20,1.0,0.8,0.9962406015037594,0.6153846153846154,0.8981203007518797,0.6956521739130435,0.6991381516675255,8,5,1325,2
25,0.1,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
25,0.15,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
25,0.2,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
25,0.25,0.8,0.9939849624060151,0.5,0.8969924812030076,0.6153846153846154,0.6291209010579871,8,8,1322,2
25,0.3,0.8,0.9909774436090225,0.4,0.8954887218045113,0.5333333333333333,0.561420098296698,8,12,1318,2
25,0.35,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,0.4,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,0.45,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
25,0.5,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
25,0.55,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
25,0.6,0.9,0.9947368421052631,0.5625,0.9473684210526316,0.6923076923076923,0.7089525305482999,9,7,1323,1
25,0.65,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
25,0.7,0.9,0.9939849624060151,0.5294117647058824,0.9469924812030075,0.6666666666666667,0.6874666762634559,9,8,1322,1
25,0.75,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,0.8,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,0.85,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,0.9,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,0.95,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
25,1.0,0.9,0.9932330827067669,0.5,0.9466165413533835,0.6428571428571429,0.6677880452384864,9,9,1321,1
